Category,Description,Regex
Scams,"Matches ""I accidentally reported you"" (Steam scam)",(?i)(accidentally|mistakenly).+?reported.+?(steam|admin|support)
Scams,"Matches ""Try my game"" (Password zip malware)",(?i)game.+?(password|pass).+?(is|:).+?1234
Scams,"Matches ""Free Robux"" scams",(?i)free\s*robux
Scams,"Matches ""Discord HypeSquad"" fake applications",(?i)hypesquad.+?(application|apply).+?(link|url)
Scams,"Matches ""Staff Application"" scam links",(?i)staff\s*application.+?(link|url|form)
Scams,"Matches ""Test my game"" scams",(?i)(test|try)\s*my\s*game
Scams,"Matches ""Leaks"" zip files (Password protected)",(?i)(leak|nudes|onlyfans).+?(zip|rar|7z).+?(password|pass)
Adult-Spam,Matches "Hot Singles" dating spam,(?i)(hot|sexy)\s*(singles|girls|ladies|women)\s*(in|near)\s*(your|ur)\s*(area|city)
Adult-Spam,Matches "Age Verification" dating scams,(?i)(verify|confirm)\s*(your|ur)\s*age\s*(to|for)\s*(chat|meet|see)
Adult-Spam,Matches "Hookup" bot solicitations,(?i)(wanna|want|looking|lookin)\s*(to|for)\s*(hook\s*up|sex|fun|meet)
Adult-Spam,Matches "My Nudes" link spam,(?i)(check|see|watch|buy).+?(my|her).+?(nudes|video|cam|onlyfans)
Adult-Spam,Matches "18+ Server" invite spam,(?i)(join|invite).+?(18\+|nsfw|sex|porn|nudes|leaks).+?(server|discord)
Adult-Spam,Matches "Sexting" bot solicitations,(?i)(looking|wanna)\s*(for|to)\s*(sext|cyber)
Adult-Spam,Matches "Sugar Daddy/Mommy" scams,(?i)(sugar|glucose).+?(daddy|mommy|baby).+?(pay|allowance|money)
Adult-Spam,Matches "Cam" site spam,(?i)(live|web)\s*cam\s*(show|girl|chat)
Adult-Spam,Matches "Unblur" image scams,(?i)(unblur|unlock).+?(image|photo|pic).+?(link|url)
Adult-Spam,Matches "Snapchat" selling spam,(?i)(add|snap).+?me.+?(for|on).+?(snapchat|snap).+?(nudes|fun)
Adult-Spam,Matches "Dropbox/Mega" content selling,(?i)(dropbox|mega\.nz).+?(link|folder).+?(nudes|leaks|onlyfans)
Adult-Spam,Matches "Girlfriend Experience" (GFE) spam,(?i)(girlfriend|gf)\s*experience
Adult-Spam,Matches "Virtual Sex" spam,(?i)virtual\s*sex
Adult-Spam,Matches "Send Nudes" solicitation,(?i)send\s*(me)?\s*nudes
Hate-Speech-Base,Matches N-word (Hard R variations),\b(n+[1il]+gg+[3e]+r+[s5]*)\b
Hate-Speech-Base,Matches F-slur (Homophobic),\bf+[a4]+gg+[0o]+t*[s5]*\b
Self-Harm,Matches KYS (Kill Yourself),(?i)\b(k\s*y\s*s|kill\s*y(?:ou)?r\s*self)\b
Self-Harm,Matches self-harm methods,(?i)(cut\s*my\s*wrists|hang\s*myself|drink\s*bleach)
Links,Matches Shortener: Bit.ly,https?:\/\/(www\.)?bit\.ly\/
Links,Matches Shortener: TinyURL,https?:\/\/(www\.)?tinyurl\.com\/
Links,Matches Shortener: Goo.gl,https?:\/\/(www\.)?goo\.gl\/
Links,Matches Shortener: Ow.ly,https?:\/\/(www\.)?ow\.ly\/
Links,Matches Shortener: Is.gd,https?:\/\/(www\.)?is\.gd\/
Links,Matches Shortener: Buff.ly,https?:\/\/(www\.)?buff\.ly\/
Links,Matches Shortener: Adf.ly,https?:\/\/(www\.)?adf\.ly\/
Links,Matches Shortener: T.co (Twitter),https?:\/\/(www\.)?t\.co\/
Links,Matches Shortener: Cut.ly,https?:\/\/(www\.)?cut\.ly\/
Links,Matches Shortener: Shorte.st,https?:\/\/(www\.)?shorte\.st\/
Links,Matches Shortener: Bc.vc,https?:\/\/(www\.)?bc\.vc\/
Links,Matches HTTP (Insecure links),http:\/\/(?!www\.).*
Personal-Attacks,"Matches ""Your mother"" insults",(?i)(ur|your|yo)\s*(mom|mum|mother)\s*(is|was|fat|gay|ugly)
Solicitation,"Matches ""DM me"" (Buying/Selling context)",(?i)(dm|pm|message)\s*me\s*(for|to\s*buy|price|sell)
Solicitation,Matches selling social proof,(?i)selling\s*(accounts?|followers|views|likes|boosts)
Solicitation,"Matches ""Check Bio"" spam",(?i)check\s*(my)?\s*bio
Solicitation,"Matches ""Link in Bio"" spam",(?i)link\s*in\s*bio
Formatting,Matches Zero-Width Joiners (Filter evasion),[\u200B-\u200D\uFEFF]
Formatting,Matches Wide Text (A E S T H E T I C spam),[\uff01-\uff5e]
Formatting,"Matches ""Spaced Out"" malware links (h t t p)",h\s+t\s+t\s+p\s*:
Formatting,Matches Right-to-Left Override (Spoofing file extensions),\u202E
Homoglyphs,Matches Mixed Latin/Cyrillic (Filter evasion/Scams),\b(?=[a-zA-Z]*[\u0400-\u04FF])(?=[\u0400-\u04FF]*[a-zA-Z])[a-zA-Z\u0400-\u04FF]+\b
Socials,Matches Twitch Links,https?:\/\/(www\.)?twitch\.tv\/
Socials,Matches YouTube Channel Links,https?:\/\/(www\.)?(youtube\.com\/(channel|c|user)|youtu\.be)\/
Socials,Matches Twitter/X Links,https?:\/\/(www\.)?(twitter|x)\.com\/
Socials,Matches Instagram Links,https?:\/\/(www\.)?instagram\.com\/
Socials,Matches TikTok Links,https?:\/\/(www\.)?tiktok\.com\/
Socials,Matches Snapchat Links,https?:\/\/(www\.)?snapchat\.com\/add\/
Socials,Matches Facebook Links,https?:\/\/(www\.)?facebook\.com\/
Socials,Matches LinkedIn Links,https?:\/\/(www\.)?linkedin\.com\/
Bot-Check,"Matches ""Who is this?"" (Mass DM bot reply)",(?i)^who\s*is\s*this\??$
Bot-Check,"Matches ""I want to be your friend"" bots",(?i)want\s*to\s*be\s*friends?
Bot-Check,"Matches ""Level Up"" spam (If using leveling bots)",^!rank|^!level|^!xp
Bot-Check,"Matches ""Music Bot"" spam (Play command)",^!(play|p|skip|fs|stop|queue)
Raid-Protection,"Matches ""Join for Nudes"" (Raid spam)",(?i)join\s*for\s*(nudes?|leaks|onlyfans)
Raid-Protection,Matches fast-moving invite spam,(?i)(join|enter).+?(server|discord).+?(fast|now)
Technical,Matches UUIDs,\b[0-9a-f]{8}\b-[0-9a-f]{4}-[0-9a-f]{4}-[0-9a-f]{4}-\b[0-9a-f]{12}\b
Technical,Matches Auth Tokens (Generic Bearer),Bearer\s[a-zA-Z0-9\-\._~\+\/]+=*
Impersonation,"Matches ""Official"" tag impersonation",(?i)(discord|staff|admin|mod|safety).+(team|official|support|notification)
Impersonation,"Matches ""System"" message spoofing",^(System|Clyde|Notification):
Markdown-Abuse,Matches Hiding text in code blocks,"`{3,}[\s\S]*?`{3,}"
Markdown-Abuse,Matches Header spam (Large text),^#+\s+.+$
Evasion,"Matches ""Fancy Font"" Generators (Mathematical Alphanumeric Symbols often used to bypass filters)",[\uD835\uDC00-\uD835\uDFFF]
Evasion,Matches Vertical Text (One char per line spam),"^(?:[\S]\n){4,}"
Evasion,Matches Symbol Injection (breaking words with punctuation i.e. b.a.d),"([a-zA-Z]\W){4,}[a-zA-Z]"
Evasion,Matches ANSI Color Codes (Used to fake system messages in code blocks),\u001b\[[0-9;]*m
Evasion,Matches Regional Indicator Spilling (Writing words with giant flag letters),"[\uD83C\uDDE6-\uD83C\uDDFF]{5,}"
Evasion,Matches Broken URLs (bracketed dots to avoid link detection like google[.]com),([a-zA-Z0-9]+\[(\.|dot)\][a-zA-Z0-9]+)
Chain-Mail,"Matches ""Copy and paste"" spam",(?i)copy\s*(and|&)\s*paste
Chain-Mail,"Matches ""Don't break the chain"" spam",(?i)break\s*the\s*chain
Chain-Mail,"Matches ""Send this to X people"" spam",(?i)send\s*this\s*to\s*\d+\s*(people|friends|users)
